Item,Calories_kcal_t
Agave fibres nes,NA
"Almonds, with shell",2360000
"Anise, badian, fennel, coriander",3450000
Apples,480000
Apricots,450000
Areca nuts,2450000
Artichokes,200000
Asparagus,120000
Avocados,1190000
Bambara beans,3650000
Bananas,600000
Barley,3320000
"Bastfibres, other",NA
"Beans, dry",3410000
"Beans, green",500000
Berries nes,490000
Blueberries,550000
"Brazil nuts, with shell",3150000
"Broad beans, horse beans, dry",3430000
Buckwheat,3300000
Cabbages and other brassicas,190000
Canary seed,3880000
Carobs,1110000
Carrots and turnips,380000
"Cashew nuts, with shell",2520000
Cashewapple,430000
Cassava,1090000
Cassava leaves,530000
Castor oil seed,NA
Cauliflowers and broccoli,90000
Cereals (Rice Milled Eqv),NA
"Cereals, nes",3400000
"Cereals,Total",NA
Cherries,650000
"Cherries, sour",450000
Chestnut,1580000
Chick peas,3580000
Chicory roots,600000
"Chillies and peppers, dry",NA
"Chillies and peppers, green",250000
Cinnamon (canella),2610000
"Citrus Fruit,Total",NA
Cloves,3230000
"Coarse Grain, Total",NA
"Cocoa, beans",4140000
Coconuts,1840000
"Coffee, green",470000
Coir,NA
Cotton lint,NA
Cottonseed,2530000
"Cow peas, dry",3420000
Cranberries,470000
Cucumbers and gherkins,130000
Currants,590000
Dates,1560000
Eggplants (aubergines),210000
Fibre crops nes,NA
Fibre Crops Primary,NA
Figs,730000
Flax fibre and tow,NA
Fonio,3380000
Fruit Primary,NA
"Fruit, citrus nes",260000
"Fruit, fresh nes",450000
"Fruit, pome nes",480000
"Fruit, stone nes",520000
"Fruit, tropical fresh nes",410000
Garlic,1300000
Ginger,3470000
Gooseberries,440000
"Grain, mixed",NA
Grapefruit (inc. pomelos),160000
Grapes,530000
"Groundnuts, with shell",4140000
"Gums, natural",NA
"Hazelnuts, with shell",2910000
Hemp tow waste,NA
Hempseed,NA
Hops,NA
Jojoba seed,NA
Jute,NA
Kapok fibre,NA
Kapok fruit,NA
Kapokseed in shell,NA
Karite nuts (sheanuts),5790000
Kiwi fruit,520000
Kola nuts,3490000
"Leeks, other alliaceous vegetables",370000
Lemons and limes,150000
Lentils,3460000
Lettuce and chicory,120000
Linseed,4980000
Lupins,3900000
Maize,3560000
"Maize, green",NA
"Mangoes, mangosteens, guavas",450000
Manila fibre (abaca),NA
Maté,400000
"Melons, other (inc.cantaloupes)",170000
Melonseed,4000000
Millet,3400000
Mushrooms and truffles,NA
Mustard seed,4690000
"Nutmeg, mace and cardamoms",5250000
"Nuts, nes",2620000
Oats,3850000
Oil palm fruit,1580000
"Oil, palm",NA
"Oilcrops, Cake Equivalent",NA
"Oilcrops, Oil Equivalent",NA
Oilseeds nes,3870000
Okra,310000
Olives,1750000
"Onions, dry",310000
"Onions, shallots, green",240000
Oranges,340000
Palm kernels,5140000
Papayas,260000
Peaches and nectarines,330000
Pears,540000
"Peas, dry",3460000
"Peas, green",310000
Pepper (piper spp.),2760000
Peppermint,NA
Persimmons,820000
Pigeon peas,3430000
Pineapples,260000
Pistachios,2890000
Plantains and others,750000
Plums and sloes,520000
Poppy seed,5330000
Potatoes,670000
"Pulses, nes",3400000
"Pulses,Total",NA
"Pumpkins, squash and gourds",190000
"Pyrethrum, dried",NA
Quinces,350000
Quinoa,3420000
Ramie,NA
Rapeseed,4940000
Raspberries,470000
"Rice, paddy",2800000
"Roots and tubers, nes",910000
"Roots and Tubers,Total",NA
"Rubber, natural",NA
Rye,3190000
Safflower seed,NA
Seed cotton,2530000
Sesame seed,5730000
Sisal,NA
Sorghum,3430000
Soybeans,3350000
"Spices, nes",3370000
Spinach,160000
Strawberries,280000
String beans,270000
Sugar beet,700000
Sugar cane,300000
"Sugar crops, nes",3900000
Sunflower seed,3080000
Sweet potatoes,920000
Tallowtree seed,NA
"Tangerines, mandarins, clementines, satsumas",320000
Taro (cocoyam),860000
Tea,400000
"Tobacco, unmanufactured",NA
Tomatoes,170000
"Treenuts,Total",NA
Triticale,3270000
Tung nuts,NA
Vanilla,NA
Vegetables Primary,NA
"Vegetables, fresh nes",220000
"Vegetables, leguminous nes",NA
Vetches,3250000
"Walnuts, with shell",2890000
Watermelons,170000
Wheat,3340000
Yams,1010000
Yautia (cocoyam),1090000
