x,,
"Almonds, with shell","Fruit, citrus nes",Pigeon peas
"Anise, badian, fennel, coriander","Fruit, fresh nes",Pineapples
Apples,"Fruit, pome nes",Pistachios
Apricots,"Fruit, stone nes",Plantains and others
Areca nuts,"Fruit, tropical fresh nes",Plums and sloes
Artichokes,Garlic,Poppy seed
Asparagus,Ginger,Potatoes
Avocados,Gooseberries,"Pulses, nes"
Bambara beans,"Grain, mixed","Pumpkins, squash and gourds"
Bananas,Grapefruit (inc. pomelos),Quinces
Barley,Grapes,Quinoa
"Beans, green","Groundnuts, with shell",Rapeseed
Blueberries,"Hazelnuts, with shell",Raspberries
"Brazil nuts, with shell",Hempseed,"Rice, paddy"
"Broad beans, horse beans, dry",Karite nuts (sheanuts),"Roots and tubers, nes"
Buckwheat,Kiwi fruit,Rye
Cabbages and other brassicas,Kola nuts,Safflower seed
Canary seed,"Leeks, other alliaceous vegetables",Seed cotton
Carobs,Lemons and limes,Sesame seed
Carrots and turnips,Lentils,Sorghum
"Cashew nuts, with shell",Lettuce and chicory,Soybeans
Cassava,Linseed,Spinach
Castor oil seed,Lupins,Strawberries
Cauliflowers and broccoli,Maize,Sugar beet
"Cereals, nes","Mangoes, mangosteens, guavas",Sugar cane
Cherries,Maté,"Sugar crops, nes"
"Cherries, sour","Melons, other (inc.cantaloupes)",Sunflower seed
Chestnut,Millet,Sweet potatoes
Chick peas,Mustard seed,"Tangerines, mandarins, clementines, satsumas"
Chicory roots,"Nutmeg, mace and cardamoms",Taro (cocoyam)
"Chillies and peppers, green","Nuts, nes",Tea
Cinnamon (canella),Oats,Tomatoes
Cloves,Oil palm fruit,Triticale
"Cocoa, beans",Oilseeds nes,Tung nuts
Coconuts,Okra,"Vegetables, fresh nes"
"Coffee, green",Olives,"Vegetables, leguminous nes"
"Cow peas, dry","Onions, shallots, green",Vetches
Cranberries,Oranges,"Walnuts, with shell"
Cucumbers and gherkins,Papayas,Watermelons
Currants,Peaches and nectarines,Wheat
Dates,Pears,Yams
Eggplants (aubergines),"Peas, green",Yautia (cocoyam)
Figs,Pepper (piper spp.),
Fonio,Persimmons,
