"a","b","c","d"
"Almonds, with shell","Chillies and peppers, green","Linseed","Pulses, nes"
"Anise, badian, fennel, coriander","Cinnamon (canella)","Lupins","Pumpkins, squash and gourds"
"Apples","Cloves","Maize","Quinces"
"Apricots","Cocoa, beans","Mangoes, mangosteens, guavas","Quinoa"
"Areca nuts","Coconuts","Maté","Rapeseed"
"Artichokes","Coffee, green","Melons, other (inc.cantaloupes)","Raspberries"
"Asparagus","Cow peas, dry","Melonseed","Rice, paddy"
"Avocados","Cranberries","Millet","Roots and tubers, nes"
"Bambara beans","Cucumbers and gherkins","Mustard seed","Rye"
"Bananas","Currants","Nutmeg, mace and cardamoms","Seed cotton"
"Barley","Dates","Nuts, nes","Sesame seed"
"Beans, dry","Eggplants (aubergines)","Oats","Sorghum"
"Beans, green","Figs","Oil palm fruit","Soybeans"
"Berries nes","Fonio","Oilseeds nes","Spices, nes"
"Blueberries","Fruit, citrus nes","Okra","Spinach"
"Brazil nuts, with shell","Fruit, fresh nes","Olives","Strawberries"
"Broad beans, horse beans, dry","Fruit, pome nes","Onions, dry","String beans"
"Buckwheat","Fruit, stone nes","Onions, shallots, green","Sugar beet"
"Cabbages and other brassicas","Fruit, tropical fresh nes","Oranges","Sugar cane"
"Canary seed","Garlic","Papayas","Sugar crops, nes"
"Carobs","Ginger","Peaches and nectarines","Sunflower seed"
"Carrots and turnips","Gooseberries","Pears","Sweet potatoes"
"Cashew nuts, with shell","Grapefruit (inc. pomelos)","Peas, dry","Tangerines, mandarins, clementines, satsumas"
"Cashewapple","Grapes","Peas, green","Taro (cocoyam)"
"Cassava","Groundnuts, with shell","Pepper (piper spp.)","Tea"
"Cassava leaves","Hazelnuts, with shell","Persimmons","Tomatoes"
"Cauliflowers and broccoli","Karite nuts (sheanuts)","Pigeon peas","Triticale"
"Cereals, nes","Kiwi fruit","Pineapples","Vegetables, fresh nes"
"Cherries","Kola nuts","Pistachios","Vetches"
"Cherries, sour","Leeks, other alliaceous vegetables","Plantains and others","Walnuts, with shell"
"Chestnut","Lemons and limes","Plums and sloes","Watermelons"
"Chick peas","Lentils","Poppy seed","Wheat"
"Chicory roots","Lettuce and chicory","Potatoes",NA
